IG_EST,IG_DEP,IG_MUN,IG_POB,IG_LAT_W84,IG_LON_W84,D_PR_PAL1,D_MI_PAL1,D_CLAS_DEP,R_RO_HUES,X,Y
Ocurrencia,Caldas,Villamaría,La Enea,4.951885,-75.42747,Oro-Au,Oro-Au,Epitermal,ROCA_METAMÓRFICA,-75.42747,4.951885
Productor pasado - Subterráneo,Caldas,Villamaría,La Enea,4.951934,-75.438499,Oro-Au,Oro-Au,Epitermal,ROCA_METAMÓRFICA,-75.438499,4.951934
Ocurrencia,Caldas,Villamaría,La Enea,4.956326,-75.43497,Oro-Au,Oro-Au,Epitermal,ROCA_METAMÓRFICA,-75.43497,4.956326
Ocurrencia,Caldas,Villamaría,Villamaría,4.958201,-75.502174,Oro-Au,Oro-Au,Epitermal,ROCA_ÍGNEA_VOLCÁNICA,-75.502174,4.958201
Ocurrencia,Caldas,Villamaría,Villamaría,5.026054,-75.510112,Antimonio-Sb,Estibina o Antimonita-Sb2S3,Epitermal,ROCA_ÍGNEA_VOLCÁNICA,-75.510112,5.026054
Productor - Subterráneo,Caldas,Manizales,Manizales,5.038183,-75.402111,Oro-Au,<Nulo>,Epitermal,ROCA_ÍGNEA_PLUTÓNICA,-75.402111,5.038183
Productor - Subterráneo,Caldas,Manizales,La Enea,5.048387,-75.409,Oro-Au,<Nulo>,Epitermal,ROCA_ÍGNEA_PLUTÓNICA,-75.409,5.048387
Productor - Subterráneo,Caldas,Manizales,Manizales,5.049284,-75.407065,Oro-Au,<Nulo>,Epitermal,ROCA_ÍGNEA_PLUTÓNICA,-75.407065,5.049284
Productor - Subterráneo,Caldas,Manizales,Manizales,5.05183,-75.408765,Oro-Au,<Nulo>,Epitermal,ROCA_ÍGNEA_PLUTÓNICA,-75.408765,5.05183
Ocurrencia,Caldas,Palestina,Palestina,5.052227,-75.61419,Oro-Au,Oro-Au,Epitermal,ROCA_METAMÓRFICA,-75.61419,5.052227
Ocurrencia,Caldas,Manizales,Santagueda,5.081053,-75.6633,Oro-Au,Oro-Au,Epitermal,ROCA_SEDIMENTARIA,-75.6633,5.081053
Productor pasado - Subterráneo,Caldas,Manizales,Manizales,5.08466,-75.58304,Oro-Au,Oro-Au,Epitermal,ROCA_METAMÓRFICA,-75.58304,5.08466
Ocurrencia,Caldas,Anserma,Neira,5.17633,-75.70942,Oro-Au,Oro-Au,Epitermal,ROCA_SEDIMENTARIA,-75.70942,5.17633
Ocurrencia,Caldas,Manzanares,Aguabonita,5.179382,-75.16245,Cobre-Cu,Arsenopirita-FeAsS,Epitermal,ROCA_METAMÓRFICA,-75.16245,5.179382
Ocurrencia,Caldas,Neira,Neira,5.183835,-75.644135,Oro-Au,Oro-Au,Epitermal,ROCA_SEDIMENTARIA,-75.644135,5.183835
Productor - Subterráneo,Caldas,Manzanares,Aguabonita,5.18466,-75.1997,Oro-Au,Oro-Au,Epitermal,ROCA_METAMÓRFICA,-75.1997,5.18466
Ocurrencia,Caldas,Anserma,Neira,5.184666,-75.69831,Oro-Au,Oro-Au,Epitermal,ROCA_SEDIMENTARIA,-75.69831,5.184666
Ocurrencia,Caldas,Neira,Neira,5.186885,-75.653305,Oro-Au,Oro-Au,Epitermal,ROCA_SEDIMENTARIA,-75.653305,5.186885
Ocurrencia,Caldas,Neira,Neira,5.189114,-75.640526,Oro-Au,Oro-Au,Epitermal,ROCA_SEDIMENTARIA,-75.640526,5.189114
Ocurrencia,Caldas,Neira,Neira,5.194108,-75.653305,Oro-Au,Oro-Au,Epitermal,ROCA_SEDIMENTARIA,-75.653305,5.194108
Ocurrencia,Caldas,Neira,Neira,5.198002,-75.636086,Oro-Au,Oro-Au,Epitermal,ROCA_SEDIMENTARIA,-75.636086,5.198002
Ocurrencia,Caldas,Neira,Neira,5.199943,-75.64414,Oro-Au,Oro-Au,Epitermal,ROCA_SEDIMENTARIA,-75.64414,5.199943
Ocurrencia,Caldas,Anserma,Neira,5.202443,-75.70303,Oro-Au,Oro-Au,Epitermal,ROCA_SEDIMENTARIA,-75.70303,5.202443
Ocurrencia,Caldas,Neira,Neira,5.228282,-75.70109,Oro-Au,Oro-Au,Epitermal,ROCA_SEDIMENTARIA,-75.70109,5.228282
Ocurrencia,Caldas,Anserma,Anserma,5.2405,-75.72331,Oro-Au,Oro-Au,Epitermal,ROCA_ÍGNEA_VOLCÁNICA,-75.72331,5.2405
Ocurrencia,Caldas,Anserma,Anserma,5.247449,-75.69969,Oro-Au,Oro-Au,Epitermal,ROCA_ÍGNEA_PLUTÓNICA,-75.69969,5.247449
Ocurrencia,Caldas,Neira,Irra,5.248558,-75.694145,Oro-Au,Oro-Au,Epitermal,ROCA_ÍGNEA_PLUTÓNICA,-75.694145,5.248558
Ocurrencia,Caldas,Neira,Irra,5.251331,-75.6772,Oro-Au,Oro-Au,Epitermal,ROCA_ÍGNEA_PLUTÓNICA,-75.6772,5.251331
Productor pasado - Subterráneo,Caldas,Anserma,Anserma,5.26799,-75.76639,Oro-Au,Oro-Au,Epitermal,ROCA_ÍGNEA_PLUTÓNICA,-75.76639,5.26799
Ocurrencia,Caldas,Filadelfia,Filadelfia,5.268909,-75.542354,Mercurio-Hg,Mercurio-Hg,Epitermal,ROCA_ÍGNEA_VOLCÁNICA,-75.542354,5.268909
Ocurrencia,Caldas,Filadelfia,Filadelfia,5.276404,-75.546159,Mercurio-Hg,Mercurio-Hg,Epitermal,ROCA_ÍGNEA_VOLCÁNICA,-75.546159,5.276404
Ocurrencia,Caldas,Filadelfia,Filadelfia,5.284331,-75.55432,Mercurio-Hg,Mercurio-Hg,Epitermal,ROCA_ÍGNEA_PLUTÓNICA,-75.55432,5.284331
